,Pulled_ID,Pulled_Movie_Name,Pulled_Release_Date,Budget,Revenue,Profit,Preformer,Gender
368,653747,Giving Voice,2020-01-26,0,0,0,Denzel Washington,2
369,592984,Hillbilly Elegy,2020-11-09,0,0,0,Amy Adams,1
370,253154,Imperial Dreams,2014-01-20,0,0,0,John Boyega,2
371,755339,Just Another Christmas,2020-12-03,0,0,0,Leandro Hassum,2
372,587385,Little Miss Sumo,2018-10-18,0,0,0,Hiyori Kon,0
373,722913,Malcolm & Marie,2021-01-29,2500000,30000000,27500000,Zendaya,1
374,430780,"Michael Bolton's Big, Sexy Valentine's Day Special",2017-02-07,0,0,0,Michael Bolton,2
375,583689,Moxie,2021-03-03,0,0,0,Hadley Robinson,1
376,137586,Night in Paradise,1946-05-03,0,0,0,Merle Oberon,1
377,785534,Paper Lives,2021-03-12,0,0,0,Çağatay Ulusoy,2
378,587910,Parchís: the Documentary,2019-03-12,0,0,0,Constantino 'Tino' Fernández,0
379,353571,Tallulah,2016-06-02,0,0,0,Elliot Page,3
380,547016,The Old Guard,2020-07-10,70000000,0,-70000000,Charlize Theron,1
381,376426,Tony Robbins: I Am Not Your Guru,2016-07-15,0,0,0,Tony Robbins,2
382,639411,Upstarts,2019-10-18,0,0,0,Priyanshu Painyuli,2
383,474354,22 July,2018-10-05,20000000,0,-20000000,Jonas Strand Gravli,0
384,423093,7 Years,2016-10-28,0,0,0,Paco León,2
385,391710,A Futile and Stupid Gesture,2018-01-24,10000000,0,-10000000,Will Forte,2
386,675598,A Life of Speed: The Juan Manuel Fangio Story,2020-03-20,0,0,0,Juan Manuel Fangio,0
387,631344,A Love Song for Latasha,2019-04-28,0,0,0,Brittany Hudson,1
388,595399,All in My Family,2019-05-03,0,0,0,Hao Wu,0
389,513576,Always Be My Maybe,2019-05-31,0,0,0,Ali Wong,1
390,699280,Becoming,2020-05-06,0,0,0,Michelle Obama,1
391,474051,Calibre,2018-06-22,0,0,0,Jack Lowden,2
392,773655,Death to 2020,2020-12-27,0,0,0,Samuel L. Jackson,2
393,739246,GIMS: On the Record,2020-09-17,0,0,0,Gims,2
394,673175,Have a Good Trip: Adventures in Psychedelics,2020-05-11,0,0,0,Nick Offerman,2
395,475345,Heroin(e),2017-09-03,0,0,0,,
396,511791,Mercury 13,2018-04-08,0,0,0,Myrtle Cagle,0
397,483010,Saving Capitalism,2017-08-25,0,0,0,Robert Reich,2
398,743382,Serious Men,2020-10-02,0,0,0,Nawazuddin Siddiqui,2
399,597156,The Boys in the Band,2020-09-30,0,0,0,Jim Parsons,2
400,748807,The Boys in the Band: Something Personal,2020-09-30,0,0,0,Mart Crowley,2
401,667869,The Life Ahead,2020-11-03,0,0,0,Sophia Loren,1
402,299782,The Other Side of the Wind,2018-11-02,12000000,0,-12000000,John Huston,2
