,title,run_t
372,Palm Swings,95
373,Dead Heat,86
374,Down to You,91
375,The Double,98
376,Nell,112
377,Night Walk,
378,Rachel Getting Married,113
379,Runaway Bride,116
380,Kinsey,118
381,Bounce,106
382,Hercules,100
383,Purity Falls,90
384,Dark Blue,118
385,"Alice, Sweet Alice",107
386,Wristcutters: A Love Story,88
387,The Man Who Would Be King,129
388,Fur: An Imaginary Portrait of Diane Arbus,122
389,Bird on a Wire,110
390,Devil in a Blue Dress,102
391,In Darkness,100
392,Sinbad and the Eye of the Tiger,113
393,Screamers,108
394,Suspicion,99
395,Assassin 33 A.D.,109
396,Armed Response,93
397,Extinction,112
398,Sweet Smell of Success,96
399,Joe Kidd,88
400,The World According to Garp,136
401,The Haunting of Sharon Tate,94
402,Lone Wolf McQuade,107
403,Airport '77,114
404,Black Knight,95
405,To Be or Not to Be,99
406,Ride with the Devil,138
407,Bilal: A New Breed of Hero,105
408,Smurfs: The Lost Village,90
409,The Fantastic Four,90
410,Nothing in Common,118
411,Alien Nation,91
412,Ecstasy,90
413,Hours,97
414,Alone in the Dark,92
415,Foxfire,102
416,Closed Circuit,96
417,Bad Santa,92
418,Stranger Than Paradise,89
419,Mark Felt: The Man Who Brought Down the White House,103
420,Dragon: The Bruce Lee Story,120
421,Danny Collins,106
422,Above the Law,99
423,Junebug,106
424,Exorcist II: The Heretic,117
425,My Girl 2,99
426,They Came Together,83
427,The Pink Panther Strikes Again,103
428,Rosewood,140
429,River of No Return,91
430,Trade,120
431,She-Devil,99
432,House Party,100
433,Eros,104
434,Batman and Harley Quinn,74
435,Halloween: Resurrection,94
436,Stallion Road,97
437,The Vatican Tapes,91
438,Blood Ties,127
439,Foul Play,116
440,Chaos Theory,87
441,Cowboy Bebop: The Movie,115
442,Alvin and the Chipmunks: Chipwrecked,87
443,From Prada to Nada,
444,An Evening with Beverly Luff Linn,108
445,Eve's Bayou,109
446,Handsome: A Netflix Mystery Movie,80
447,Police Academy 5: Assignment: Miami Beach,90
448,Life of Crime,98
449,Dance with Me,126
450,The Bravados,98
451,The Sugarland Express,110
452,How to Marry a Millionaire,95
453,The Matchmaker's Playbook,89
454,Beyond the Lights,116
455,Exorcist: The Beginning,114
456,Grand Prix,176
457,Beauty Shop,105
458,The Short History of the Long Road,90
459,Nine Days,124
460,Suburban Gothic,90
461,Max Keeble's Big Move,86
462,Ricochet,102
463,Rage,98
464,Hollywood Dirt,85
465,Hamlet,135
466,Thick as Thieves,104
467,The Invisible,102
468,All of Me,93
469,Slacker,97
470,Of Love and Shadows,
471,Zola,90
472,Felon,104
473,Digging for Fire,85
474,The Sand,84
475,By Your Leave,82
476,Bridget Jones: The Edge of Reason,108
477,Shadow of the Thin Man,97
478,Jenny's Wedding,94
479,Slaughterhouse-Five,104
480,M. Butterfly,101
481,Always a Bridesmaid,97
482,Edtv,122
483,Supernova,90
484,Someone Like You,97
485,The Hotel New Hampshire,109
486,Greedy,113
487,The Protector,83
488,Prom,104
489,A Night in the Life of Jimmy Reardon,90
490,Mope,105
491,The Pink Panther 2,92
492,Nothing to Lose,98
493,Husbands,138
494,Deception,107
495,Rendition,122
496,Dead Water,89
497,Agent Jade Black,101
498,The Heartbreak Kid,106
499,Tragedy Girls,98
500,My All-American,118
501,The Children Act,105
502,The Family That Preys,
503,JT LeRoy,108
504,Proof,100
505,Holy Smoke,115
506,The Nun's Story,149
507,Necronomicon: Book of Dead,96
508,The Killers,103
509,Birdy,120
510,Dunston Checks In,88
511,Babes in Toyland,106
512,Blacula,93
513,Return of the Living Dead II,89
514,Night Falls on Manhattan,113
515,10 to Midnight,101
516,Butterfly,108
517,Valentino,128
518,Joshy,93
519,Anna and the King,148
520,Bulworth,108
521,Shelter,105
522,Allan Quatermain and the Lost City of Gold,99
523,Birth,100
524,Blood and Chocolate,
525,Bullet for a Badman,80
526,Duel at Diablo,103
527,Early Man,89
528,The Nut Job,85
529,The Day of the Locust,144
530,Inherit the Wind,128
531,Sahara,111
532,A Thousand Words,91
533,Highlander: Endgame,87
534,Get on the Bus,120
535,The Competition,123
536,Conviction,107
537,Stomp the Yard,
538,The Secret of Kells,71
539,S.O.B.,122
540,Ladder 49,115
541,Inconceivable,105
542,Fuzz,92
543,A Guide to Recognizing Your Saints,100
544,The Comedian,120
545,Back Fork,98
546,All the King's Men,128
547,Citizen Toxie: The Toxic Avenger IV,109
548,The Brave,123
549,The Country Bears,88
550,Love and Death,85
551,On Deadly Ground,101
552,Madeline's Madeline,93
553,My Stepmother Is an Alien,105
554,Airport 1975,107
555,Ride Lonesome,73
556,Cutting Class,91
557,A Stolen Life,109
558,Delirious,96
559,Father's Day,99
560,Howling II: ... Your Sister Is a Werewolf,91
561,Top Hat,101
562,Death to Smoochy,109
563,Gloria,123
564,Ishtar,107
565,"Corrina, Corrina",115
566,Doom Asylum,77
567,Witchfinder General,86
568,Cabin Boy,80
569,Suicide Kings,106
570,Major Dundee,123
571,Hell Baby,98
572,Rapid Fire,95
573,Mob Town,90
574,King Kong vs. Godzilla,97
575,The Muppets Take Manhattan,94
576,UFO,88
577,3 Ninjas Kick Back,93
578,Carbon Copy,92
579,Wer,89
580,Hell to Eternity,131
581,Sex and the Single Girl,110
582,Wild Bill,98
583,Bordertown,112
584,Out of Blue,109
585,Riot,87
586,You Might Be the Killer,92
587,The War,126
588,4 for Texas,124
589,One Night Stand,102
590,Barbershop: The Next Cut,111
591,The Dawn,90
592,Only Angels Have Wings,121
593,The Adderall Diaries,87
594,Camelot,179
595,Canadian Bacon,91
596,The Adventures of Pinocchio,90
597,The Serpent and the Rainbow,98
598,The Dallas Connection,94
599,Primal: Tales of Savagery,85
600,Flipper,95
601,Lilies of the Field,94
602,My Blue Heaven,97
603,Chatterbox!,73
604,The Winslow Boy,104
605,The Presidio,97
606,Man of the House,100
607,Crying Freeman,102
608,The Order,102
609,The War Boys,93
610,Georgetown,99
611,In a Relationship,92
612,Highway to Hell,94
613,Undertow,108
614,+1,96
615,Son of Bigfoot,92
616,Freak Show,91
617,Black Widow,95
618,8 Seconds,105
619,Anything Else,108
620,A Champion Heart,90
621,Losing Isaiah,111
622,Marmaduke,99
623,Miracle Mile,87
624,"Run, Fat Boy, Run",100
625,Don't Think Twice,92
626,"Peace, Love & Misunderstanding",96
627,Remember the Daze,101
628,Just Visiting,88
629,The Masque of the Red Death,89
630,The Search for One-eye Jimmy,
631,1985,85
632,Beyond the Sky,82
