Title,Language
The Angel,Arabic
The Angel,Italian
The Beverly Hillbillies,English
Pee-wee's Big Adventure,English
Pee-wee's Big Adventure,French
Anomalisa,English
Anomalisa,Italian
Anomalisa,Japanese
Hard Eight,English
Creepshow 2,English
Species II,English
Hudson Hawk,English
Hudson Hawk,Italian
Bicentennial Man,English
Winter's Tale,English
Escape to Witch Mountain,English
Get Shorty,English
He's Out There,English
The Possession of Hannah Grace,English
Hondo,English
Hondo,Athapascan languages
The Rescuers Down Under,English
Somewhere in Time,English
Stuart Little 2,English
All the Boys Love Mandy Lane,English
K-19: The Widowmaker,English
K-19: The Widowmaker,Russian
Miss Congeniality 2: Armed & Fabulous,English
Meet the Spartans,English
Martha Marcy May Marlene,English
A-X-L,English
The Bye Bye Man,English
Double Impact,English
Inspector Gadget,English
Inspector Gadget,Norwegian
Inspector Gadget,French
Inspector Gadget,Spanish
Scary Movie 4,English
Scary Movie 4,Japanese
The 33,English
The 33,Spanish
When a Stranger Calls,English
Frozen,English
Breaking Away,English
Breaking Away,Italian
Breaking Away,French
Heaven Knows What,English
Heaven Knows What,Spanish
Heaven Knows What,Italian
True Crime,English
Dracula 2000,English
Muppets Most Wanted,English
Muppets Most Wanted,German
Mirrors,English
Into the Grizzly Maze,English
Into the Grizzly Maze,American Sign Language
Uptown Girls,English
Blue Chips,English
The Only Living Boy in New York,English
The Switch,English
Jungle 2 Jungle,English
Airheads,English
Regression,English
Deadgirl,English
Safety Not Guaranteed,English
Glory Road,English
Bridget Jones's Baby,English
Bridget Jones's Baby,Italian
Mermaids,English
Invincible,English
The Bounty,English
The Human Stain,English
The Devil's Own,English
I Spy,English
I Spy,Hungarian
I Spy,Russian
Oscar,English
Oscar,Italian
Fly Away Home,English
She's Having a Baby,English
August Rush,English
The Great Debaters,English
Gigli,English
Speak,English
Friends with Kids,English
Driveways,English
The Hidden,English
Vampires Suck,English
Vampires Suck,German
The Rookie,English
Palo Alto,English
Ultraviolet,English
Ultraviolet,Vietnamese
Diary of a Wimpy Kid: The Long Haul,English
Diary of a Wimpy Kid: The Long Haul,Spanish
Middle Men,English
The Man Who Knew Infinity,English
The Man Who Knew Infinity,Tamil
The Man Who Knew Infinity,Sanskrit
Don't Be Afraid of the Dark,English
MacGruber,English
MacGruber,Russian
Extremely Loud & Incredibly Close,English
Appaloosa,English
Appaloosa,Apache languages
Appaloosa,Spanish
Shanghai Noon,English
Shanghai Noon,Mandarin
Shanghai Noon,Sioux
Shanghai Noon,Spanish
Baby Boy,English
The Blob,English
The Blob,Italian
The Man Who Laughs,English
Semi-Pro,English
Gilda,English
Gilda,Spanish
Gilda,French
Gilda,German
Silver Streak,English
88 Minutes,English
King Solomon's Mines,English
Like Mike,English
The Bonfire of the Vanities,English
Heaven Can Wait,English
A Midsummer Night's Dream,English
A Midsummer Night's Dream,Italian
A Midsummer Night's Dream,Latin
Arctic Dogs,English
Arctic Dogs,Korean
Ice Age: Dawn of the Dinosaurs,English
The Sisterhood of the Traveling Pants 2,English
The Sisterhood of the Traveling Pants 2,Greek
A Star Is Born,English
The Cobbler,English
The Cobbler,Yiddish
Relic,English
My Name Is Khan,Hindi
My Name Is Khan,Urdu
My Name Is Khan,English
Balls of Fury,English
Balls of Fury,Mandarin
I Will Make You Mine,English
Powder,English
Night on Earth,English
Night on Earth,French
Night on Earth,Finnish
Night on Earth,Italian
Night on Earth,German
The Animal Kingdom,English
Palm Swings,English
Dead Heat,English
Down to You,English
Down to You,French
The Double,English
The Double,Russian
The Double,Spanish
Nell,English
Night Walk,English
Rachel Getting Married,English
Runaway Bride,English
Kinsey,English
Bounce,English
Hercules,Italian
Hercules,English
Purity Falls,English
Dark Blue,English
"Alice, Sweet Alice",English
Wristcutters: A Love Story,English
Wristcutters: A Love Story,Russian
The Man Who Would Be King,Arabic
The Man Who Would Be King,English
Fur: An Imaginary Portrait of Diane Arbus,English
Bird on a Wire,English
Devil in a Blue Dress,English
In Darkness,English
In Darkness,Serbo-Croatian
In Darkness,Russian
Sinbad and the Eye of the Tiger,English
Sinbad and the Eye of the Tiger,Arabic
Screamers,English
Suspicion,English
Assassin 33 A.D.,English
Armed Response,English
Extinction,English
Sweet Smell of Success,English
Joe Kidd,English
Joe Kidd,Spanish
The World According to Garp,English
The Haunting of Sharon Tate,English
Lone Wolf McQuade,English
Lone Wolf McQuade,Spanish
Airport '77,English
Airport '77,Hungarian
Black Knight,English
To Be or Not to Be,English
To Be or Not to Be,German
Ride with the Devil,English
Ride with the Devil,German
Bilal: A New Breed of Hero,English
Smurfs: The Lost Village,English
The Fantastic Four,English
Nothing in Common,English
Alien Nation,English
Ecstasy,English
Hours,English
Alone in the Dark,English
Foxfire,English
Closed Circuit,English
Bad Santa,English
Stranger Than Paradise,Italian
Stranger Than Paradise,English
Stranger Than Paradise,Hungarian
Mark Felt: The Man Who Brought Down the White House,English
Dragon: The Bruce Lee Story,English
Dragon: The Bruce Lee Story,Cantonese
Danny Collins,English
Above the Law,English
Above the Law,Spanish
Above the Law,Assyrian Neo-Aramaic
Junebug,English
Exorcist II: The Heretic,English
Exorcist II: The Heretic,French
Exorcist II: The Heretic,Spanish
My Girl 2,English
They Came Together,English
The Pink Panther Strikes Again,English
Rosewood,English
River of No Return,English
Trade,English
Trade,Spanish
Trade,Polish
Trade,Russian
She-Devil,English
She-Devil,French
House Party,English
Eros,Mandarin
Eros,English
Eros,Italian
Batman and Harley Quinn,English
Halloween: Resurrection,English
Stallion Road,English
The Vatican Tapes,English
The Vatican Tapes,Aramaic
Blood Ties,English
Blood Ties,Italian
Blood Ties,Spanish
Foul Play,English
Chaos Theory,English
Cowboy Bebop: The Movie,Japanese
Cowboy Bebop: The Movie,English
Alvin and the Chipmunks: Chipwrecked,English
From Prada to Nada,English
From Prada to Nada,Spanish
An Evening with Beverly Luff Linn,English
Eve's Bayou,English
Handsome: A Netflix Mystery Movie,English
Police Academy 5: Assignment: Miami Beach,English
Life of Crime,English
Dance with Me,English
The Bravados,English
The Bravados,Spanish
The Sugarland Express,English
How to Marry a Millionaire,English
How to Marry a Millionaire,French
How to Marry a Millionaire,Latin
How to Marry a Millionaire,Arabic
The Matchmaker's Playbook,English
Beyond the Lights,English
Exorcist: The Beginning,English
Grand Prix,English
Grand Prix,French
Grand Prix,Italian
Grand Prix,Japanese
Beauty Shop,English
The Short History of the Long Road,English
Nine Days,English
Suburban Gothic,English
Max Keeble's Big Move,English
Ricochet,English
Rage,English
Hollywood Dirt,English
Hamlet,English
Thick as Thieves,English
Thick as Thieves,Russian
Thick as Thieves,Dutch
The Invisible,English
All of Me,English
Slacker,English
Of Love and Shadows,English
Zola,English
Felon,English
Digging for Fire,English
Digging for Fire,Spanish
The Sand,English
By Your Leave,English
Bridget Jones: The Edge of Reason,English
Bridget Jones: The Edge of Reason,German
Bridget Jones: The Edge of Reason,Thai
Shadow of the Thin Man,English
Jenny's Wedding,English
Slaughterhouse-Five,English
Slaughterhouse-Five,German
M. Butterfly,English
M. Butterfly,Chinese
M. Butterfly,French
M. Butterfly,Italian
Always a Bridesmaid,English
Edtv,English
Supernova,English
Someone Like You,English
The Hotel New Hampshire,English
Greedy,English
The Protector,Thai
The Protector,English
The Protector,Mandarin
The Protector,Vietnamese
Prom,English
A Night in the Life of Jimmy Reardon,English
Mope,English
The Pink Panther 2,English
The Pink Panther 2,French
The Pink Panther 2,Spanish
The Pink Panther 2,Italian
Nothing to Lose,English
Husbands,English
Husbands,French
Husbands,Italian
Husbands,Cantonese
Deception,English
Deception,Spanish
Deception,Cantonese
Rendition,English
Rendition,Arabic
Dead Water,English
Agent Jade Black,English
The Heartbreak Kid,English
Tragedy Girls,English
My All-American,English
The Children Act,English
The Family That Preys,English
JT LeRoy,English
JT LeRoy,French
Proof,English
Holy Smoke,English
Holy Smoke,Hindi
The Nun's Story,English
Necronomicon: Book of Dead,English
The Killers,English
Birdy,English
Dunston Checks In,English
Dunston Checks In,French
Babes in Toyland,English
Blacula,English
Return of the Living Dead II,English
Night Falls on Manhattan,English
10 to Midnight,English
Butterfly,English
Valentino,English
Joshy,English
Anna and the King,English
Anna and the King,Thai
Anna and the King,French
Bulworth,English
Shelter,English
Shelter,French
Allan Quatermain and the Lost City of Gold,English
Birth,English
Blood and Chocolate,English
Blood and Chocolate,Romanian
Bullet for a Badman,English
Duel at Diablo,English
Early Man,English
The Nut Job,English
The Nut Job,Dutch
The Day of the Locust,English
The Day of the Locust,Spanish
The Day of the Locust,French
The Day of the Locust,German
Inherit the Wind,English
Sahara,English
A Thousand Words,English
Highlander: Endgame,English
Highlander: Endgame,French
Highlander: Endgame,Scottish Gaelic
Get on the Bus,English
The Competition,English
Conviction,English
Stomp the Yard,English
The Secret of Kells,English
The Secret of Kells,Irish
S.O.B.,English
Ladder 49,English
Inconceivable,English
Fuzz,English
A Guide to Recognizing Your Saints,English
A Guide to Recognizing Your Saints,Spanish
The Comedian,English
Back Fork,English
All the King's Men,English
Citizen Toxie: The Toxic Avenger IV,English
The Brave,English
The Country Bears,English
Love and Death,English
On Deadly Ground,English
On Deadly Ground,Inuktitut
Madeline's Madeline,English
My Stepmother Is an Alien,English
Airport 1975,English
Ride Lonesome,English
Cutting Class,English
A Stolen Life,English
Delirious,English
Father's Day,English
Howling II: ... Your Sister Is a Werewolf,English
Howling II: ... Your Sister Is a Werewolf,Czech
Top Hat,English
Top Hat,Italian
Death to Smoochy,English
Gloria,English
Ishtar,English
"Corrina, Corrina",English
Doom Asylum,English
Witchfinder General,English
Cabin Boy,English
Suicide Kings,English
Major Dundee,English
Major Dundee,French
Major Dundee,Spanish
Hell Baby,English
