Performer,Metascore
Adam Donshik,31.0
Adam Drescher,58.0
Adam Driscoll,60.0
Adam Driver,73.94117647058823
Adam Echahly,43.0
Adam Ellis,54.0
Adam Elshar,40.0
Adam Epstein,19.0
Adam Faith,65.0
Adam Feingold,55.0
Adam Fergus,47.0
Adam Ferrara,33.5
Adam Fleming,37.0
Adam Fogerty,50.5
Adam Friberg,67.0
Adam Frick,58.0
Adam Fristoe,49.5
Adam G. Simon,37.0
Adam Gabay,49.0
Adam Ganne,44.0
Adam Garcia,34.333333333333336
Adam Gates,60.0
Adam Gaudreau,69.0
Adam Gierasch,53.0
Adam Gifford,62.0
Adam Glazer,55.0
Adam Gnegne,77.0
Adam Godley,57.57142857142857
Adam Goldberg,51.625
Adam Greaves-Neal,36.0
Adam Green,39.5
Adam Greer,50.0
Adam Gregory,48.0
Adam Greydon Reid,39.0
Adam Gropman,62.0
Adam Hann-Byrd,58.5
Adam Hardman,64.0
Adam Hatley,30.0
Adam Hendershott,45.0
Adam Henslee,36.0
Adam Herschman,41.666666666666664
Adam Hicks,43.666666666666664
Adam Hocherman,68.0
Adam Hollander,87.0
Adam Horovitz,74.0
Adam Hugill,78.0
Adam Hunt,71.0
Adam Hurtig,54.5
Adam J. Harrington,29.5
Adam James,49.75
Adam Jennings,49.0
Adam Johnson,40.5
Adam Jones,63.0
Adam K. Thompson,40.0
Adam Kantor,23.0
Adam Karst,50.0
Adam Kern,65.0
Adam Khaykin,54.0
Adam Kolkin,41.0
Adam Korson,41.0
Adam Kozlowski,38.0
Adam Krentzman,67.0
Adam Kroloff,68.0
Adam Kulbersh,19.0
Adam LaVorgna,62.0
Adam Lamberg,46.5
Adam Lazarre-White,69.5
Adam LeFevre,47.26086956521739
Adam Leese,66.0
Adam Levine,41.5
Adam Levy,41.0
Adam Lieberman,36.0
Adam Long,60.0
Adam Loxley,63.0
Adam Lustick,72.0
Adam Marcus,18.0
Adam Marton Teters,53.0
Adam Matta,38.0
Adam Mediano,37.0
Adam Meier,68.0
Adam Metzger,81.0
Adam Mitchell,80.0
Adam Monty,51.0
Adam Moreno,41.0
Adam Moryto,33.0
Adam Moskowitz,63.0
Adam Nee,45.5
Adam Nelson,52.2
Adam O'Byrne,70.0
Adam Ovadia,56.0
Adam Ozturk,52.0
Adam Pally,50.166666666666664
Adam Papagan,51.0
Adam Pascal,61.666666666666664
Adam Paul,37.0
Adam Pearson,79.0
Adam Pena,53.0
Adam Perry,43.0
Adam Philipson,61.0
Adam Phillips,54.0
Adam Powell,44.0
Adam Quinn,78.0
Adam Quintero,42.5
Adam Rayner,45.0
Adam Redfield,51.0
Adam Riegler,51.0
Adam Roarke,57.25
Adam Rodriguez,45.666666666666664
Adam Rose,41.5
Adam Rothenberg,58.0
Adam Ryen,70.0
Adam Sandler,40.57142857142857
Adam Saunders,40.0
Adam Scarimbolo,54.0
Adam Schumann,68.0
Adam Scott,50.642857142857146
Adam Scott Miller,30.0
Adam Searle,90.0
Adam Sevani,46.666666666666664
Adam Shalzi,52.0
Adam Shapiro,51.0
Adam Sietz,72.0
Adam Sims,42.0
Adam Solomonian,46.0
Adam Stephenson,57.0
Adam Storke,58.0
Adam Tanguay,54.0
Adam Taylor,34.0
Adam Tomei,50.4
Adam Trese,57.0
Adam Tuominen,56.0
Adam Wagner,57.0
Adam Wang,52.0
Adam Weisman,1.0
Adam Wendling,63.0
Adam West,55.2
Adam Williams,98.0
Adam Wingard,46.0
Adam Wolf Mayerson,72.0
Adam Woodward,26.0
Adam Wylie,29.0
Adam Zambryzcki,46.0
Adam Zolotin,38.0
Adamina Kerr,59.0
Adamo Galano,48.0
Adamo Palladino,31.0
Adan Canto,36.0
Adan Daher,49.0
Adande 'Swoozie' Thorne,33.0
Addie Bartlett,78.0
Addie Daddio,43.0
Addie Land,51.0
Addison Myers,73.0
Addison Powell,64.5
Addison Riecke,70.0
Addison Timlin,50.76923076923077
Addy Miller,38.0
Ade,55.0
Ade Otukoya,81.0
Ade Oyefeso,39.0
Adea Lennox,75.0
Adeda Frotan,37.0
Adeeja Rochele Anderson,33.0
Adeel Ahmed,35.0
Adeel Akhtar,60.285714285714285
Adel Bencherif,28.0
Adel Hammoud,34.0
Adel Odai,52.0
Adelaida Alvarez,77.0
Adelaide Clemens,42.42857142857143
Adelaide Kane,36.0
Adele D'Man,76.0
Adele Malis-Morey,59.0
Adele Parker,62.0
Adele Proom,35.0
Adele Tirante,72.0
Adelind Horan,51.0
Adeline Thery,68.0
Adelle Goldenberg,81.0
Adelle Lutz,73.0
Aden Gillett,75.0
Aden Young,46.0
Adeola Ariyo,51.0
Adepero Oduye,53.0
Adesuwa Addy Iyare,57.0
Adetokumboh M'Cormack,37.0
Adewale Akinnuoye-Agbaje,48.4375
Adhir Kalyan,41.0
Adi Ezroni,51.0
Adi Schnall,45.0
Adi Shankar,58.0
Adi Stein,36.0
Adia Kuznetzoff,68.0
Adil Hussain,51.5
Adilah Barnes,62.5
Adina Galupa,51.25
Adina Herz,14.0
Adina Howard,82.0
Adina Porter,46.5
Adinah Dancyger,68.0
Adisa Anderson,81.0
Adit Dileep,66.0
Adithi Kalkunte,62.0
Adjoa Andoh,55.0
Adobuere Ebiama,35.0
Adolfo Alvarez,46.0
Adolfo Celi,72.0
Adolfo Mendez-Nouel,43.0
Adolfo Quinones,54.0
Adolph Caesar,61.333333333333336
Adolphe Menjou,76.5
Adoni Maropis,49.0
Adonis Boyd,61.0
Adreana Gonzalez,25.0
Adria Arjona,47.2
Adria Baratta,30.0
Adria Dawn,56.0
Adrian Alonso,53.0
Adrian Amadeus,56.0
Adrian Anghel,39.0
Adrian Armas,47.0
Adrian Aron,55.0
Adrian Blue,60.0
Adrian Bouchet,35.0
Adrian Brine,65.0
Adrian Can,40.0
Adrian Ciscato,49.0
Adrian Collins,58.5
Adrian Conrad,39.0
Adrian Cox-Thurmond,41.0
Adrian Dearnell,51.0
Adrian Dunbar,38.5
Adrian Enscoe,49.0
Adrian G. Griffiths,61.0
Adrian Gaeta,35.0
Adrian Grenier,42.07692307692308
Adrian Hall,64.0
Adrian Hein,61.0
Adrian Holmes,50.5
Adrian Hough,32.666666666666664
Adrian Jasso,77.0
Adrian Kali Turner,40.0
Adrian Lee,62.0
Adrian Lester,54.8
Adrian Lukis,66.0
Adrian M. Mompoint,34.0
Adrian Marrero,21.0
Adrian Martinez,48.125
Adrian McCourt,47.0
Adrian McLoughlin,88.0
Adrian Neil,50.0
Adrian O'Donnell,29.0
Adrian Pang,14.0
Adrian Pasdar,52.166666666666664
Adrian Paul,13.0
Adrian Pintea,43.0
Adrian Quinonez,31.5
Adrian Quinton,60.0
Adrian Rawlins,63.4
Adrian Ricard,59.0
Adrian Rice,62.0
Adrian Roberts,72.0
Adrian Robinson,71.0
Adrian Ross Magenty,89.0
Adrian Salas,30.0
Adrian Santiago,78.0
Adrian Scarborough,74.0
Adrian Schiller,49.5
Adrian Sparks,49.0
Adrian Spurlock,33.0
Adrian Voo,41.0
Adrian Young,19.0
Adrian Zmed,54.0
Adriana Alexander,40.0
Adriana Altaras,34.0
Adriana Arbelaes,68.0
Adriana Barraza,47.916666666666664
Adriana Biasi,58.0
Adriana Caselotti,95.0
Adriana Cordova,58.0
Adriana DeMeo,40.5
Adriana Delphine,33.0
Adriana Hercigonja,60.0
Adriana Mastrángelo,65.0
Adriana Mather,25.0
Adriana Millan,56.0
Adriana O'Neil,43.0
Adriana Paz,60.0
Adriana Sevahn Nichols,61.0
Adriane Brown,63.0
Adriane Forlana Erdos,53.0
Adriane Lenox,55.6
Adrianna Costa,44.0
Adrianne Herman,52.0
Adrianne Krstansky,68.5
Adrianne Palicki,44.166666666666664
Adriano Aragon,33.0
Adriano Giannini,48.0
Adrien Brody,53.333333333333336
Adrien Dorval,72.33333333333333
Adriene Mishler,74.0
Adrienne Barbeau,54.3
Adrienne Campbell,90.0
Adrienne Corri,80.0
Adrienne DeFaria,53.0
Adrienne Frantz,40.0
Adrienne Houghton,23.0
Adrienne King,24.0
Adrienne Lamping,83.0
Adrienne Loosemore,48.0
Adrienne Lovette,61.0
Adrienne O'Sullivan,76.0
Adrienne Pearson,28.0
Adrienne Pickering,39.0
Adrienne Rusk,81.0
Adrienne Shaw,67.0
Adrienne Shelly,68.6
Adrienne Wilkinson,41.0
Adrián Salgado,39.0
Adèle Exarchopoulos,69.0
Adèle Grosskopf,54.0
Aedin Mincks,38.0
Aemilia Robinson,33.0
Aemon Wolf O'Keefe,48.0
Aengus James,39.0
Aeriél Miranda,39.0
Aernout Van Lynden,49.0
Aeron Macintyre,43.0
Aerosmith,27.0
Aeryk Egan,41.0
Aesha Waks,42.0
Aesop Aquarian,31.0
Afemo Omilami,54.75
Affif Ben Badra,30.0
Affion Crockett,35.55555555555556
Afifi Alaouie,51.5
Afiya Bennett,54.0
Afonda Colbert,78.0
Afra Sophia Tully,38.0
Afrooza Langoo,58.0
Aftab Pureval,76.0
Afton Smith,48.0
Afton Williamson,52.333333333333336
Agam Darshi,46.333333333333336
Agata Buzek,60.0
Agata Kulesza,24.0
Agate Lechantoux,33.0
Agatha Hurle,40.0
Agathe Biarrotte,55.0
Agathe de La Boulaye,31.5
Agelem Habibi,61.0
Agles Steib,36.0
Agneeta Thacker,33.0
Agnes Bruckner,42.733333333333334
Agnes Herrmann,41.5
Agnes Moorehead,96.5
Agnes Simaloi,56.0
Agnes Westerlund Rase,72.0
Agness Breen,68.0
Agnete Oernsholt,31.0
Agni Scott,46.0
Agnieszka Grochowska,49.0
Agnès Conan,46.0
Agnès Jaoui,38.0
Agustina Muñoz,79.0
Agustín Rodríguez,40.0
Agustín Silva,61.5
Agyness Deyn,51.0
Aharon Ipalé,45.25
Ahd,63.0
Ahmad Cage,54.0
Ahmad Khan Mahmoodzada,61.0
Ahmad Razvi,77.0
Ahmaogak Sweeney,61.0
Ahmed Abdelhafiz,62.0
Ahmed Ben Larby,53.0
Ahmed Best,52.5
Ahmed Fouad Selim,61.0
Ahmed Haroun,61.0
Ahmed Lucan,74.5
Ahmet Zappa,77.0
Ahna Brandvik,42.0
Ahna Capri,83.0
Ahna O'Reilly,50.333333333333336
Ahney Her,72.0
Ahuva Keren,80.0
Ai Kobayashi,61.0
Ai-Chan Carrier,60.0
Aida Doina,35.0
Aida Linares,54.5
Aida Rakhimora,39.0
Aida Turturro,48.77777777777778
Aidan Andrews,44.5
Aidan Bristow,46.0
Aidan Devine,48.8
Aidan Drummond,19.0
Aidan Feore,44.0
Aidan Fiske,41.0
Aidan Gemme,40.0
Aidan Gillen,53.9
Aidan Gillett,57.0
Aidan Gould,62.0
Aidan Laliberte,39.0
Aidan Langford,71.0
Aidan McArdle,62.666666666666664
Aidan Mitchell,33.0
Aidan O'Hare,81.0
Aidan Potter,27.0
Aidan Quinn,47.89473684210526
Aidan Redmond,67.0
Aidan Ritchie,36.0
Aidan Scott,36.0
Aidan Turner,50.57142857142857
Aidan Whytock,36.0
Aidan Wojtak-Hissong,23.0
Aideen O'Kelly,50.0
Aideen Wylde,74.0
Aiden Akpan,34.0
Aiden Arthur,64.0
Aiden Flowers,48.75
Aiden Lewandowski,41.0
Aiden Lithgow,64.0
Aiden Longworth,44.0
Aiden Lovekamp,47.166666666666664
Aiden Malik,92.0
Aiden Noesi,57.0
Aidy Bryant,58.666666666666664
Aiko Tanaka,46.0
Ailbhe Cowley,65.0
Aileen Burdock,37.0
Aileen Quinn,39.0
Ailidh Mackay,85.0
Aimee Brooks,19.0
Aimee Carrero,34.0
Aimee Cucchiaro,54.0
Aimee Dunn,39.0
Aimee Eccles,58.0
Aimee Garcia,49.55555555555556
Aimee Graham,57.666666666666664
Aimee King,45.0
Aimee Laurence,40.0
Aimee Lynne Johnson,40.0
Aimee Mullins,50.75
Aimee Pedersen,52.0
Aimee Rose Ambroziak,67.0
Aimee Sagara,50.0
Aimee Teegarden,32.857142857142854
Aimee-Lynn Chadwick,38.0
Aimilios Heilakis,36.0
Aino Jawo,53.0
Ainsley Elias,59.0
Aion Boyd,42.0
Aireti,40.0
Aisha Ayamah,35.0
Aisha Hinds,52.57142857142857
Aisha Prigann,42.0
Aisha Tyler,37.5
Aishwarya Rai Bachchan,45.5
Aisleagh Jackson,45.0
Aislin Roche,47.0
Aisling Loftus,45.0
Aislinn DeButch,60.0
Aislinn Derbez,77.0
Aislín McGuckin,60.0
Ait Hamou Amine,24.0
Aitana Sánchez-Gijón,57.5
Aitor Luna,22.0
Aj Wilson McPhaul,74.0
Aja Bair,47.0
Aja George,45.0
Aja Naomi King,43.5
Aja Volkman,29.0
Ajani Russell,72.0
Ajay,40.0
Ajay Mehta,56.0
Ajay Naidu,52.833333333333336
Ajay Vidure,32.0
Ajia Mignon Johnson,57.0
Ajiona Alexus,37.0
Ajmal Nasir,32.0
Ajmal Zaheer Ahmad,31.0
Akaji Maro,83.0
Akash Sinha,65.0
Akbar Kurtha,47.0
Akemi Look,51.0
