Performer,Metascore
Luis Lantigua,81.0
Luis Moncada,21.0
Luis Núñez,63.0
Luis Oliva,75.0
Luis Olmeda,59.5
Luis Oropeza,19.0
Luis R. Espinoza,45.0
Luis Richard Gomez,74.0
Luis Robledo,40.5
Luis Rodriguez,49.0
Luis Rojas-Salgado,56.0
Luis Rosado,41.333333333333336
Luis Rosales,39.0
Luis Saguar,58.0
Luis Scott,65.0
Luis Sossa,62.0
Luis Soto,44.0
Luis Tolentino,49.0
Luis Tosar,50.333333333333336
Luis Van Rooten,85.0
Luis de Icaza,35.0
Luis de La Rosa,28.0
Luisa Battista,52.0
Luisa Brooke,45.0
Luisa Conlon,65.0
Luisa De Santis,50.0
Luisa Huertas,63.0
Luisa Lee,71.0
Luisa Leschin,29.0
Luisa Moraes,36.0
Luisa Ranieri,50.0
Luisa Williams,61.0
Luisa d'Oliveira,43.0
Luise Bähr,39.0
Luisina Quarleri,40.0
Luiz Lobo,19.0
Luiza Nersisyan,86.0
Luka Jones,52.0
Luka Kain,72.0
Luka Peros,53.0
Lukas Gage,32.0
Lukas Haas,47.95238095238095
Lukas King,41.0
Lukas Loughran,29.0
Lukas Nelson,29.0
Lukas Penar,35.0
Lukas Termin,65.0
Luke,61.0
Luke Alleva,45.0
Luke Andreas,29.0
Luke Askew,61.75
Luke Baines,33.0
Luke Beavers,71.0
Luke Benward,49.0
Luke Bracey,37.333333333333336
Luke Brady,52.0
Luke Brandon Field,58.0
Luke Bromley,81.0
Luke Carberry,61.0
Luke Clements,53.0
Luke Coffee,33.0
Luke DeWolfe,23.0
Luke Diliberto,81.0
Luke Donaldson,84.0
Luke Donovan,57.0
Luke Edwards,45.0
Luke Evans,47.78947368421053
Luke Fava,63.0
Luke Forbes,64.0
Luke Ford,31.0
Luke Gair,40.0
Luke Gallant,65.0
Luke Ganalon,65.0
Luke Geissbuhler,61.0
Luke Goss,49.333333333333336
Luke Grimes,43.7
Luke Halpin,43.0
Luke Hardeman,51.0
Luke Hawker,49.0
Luke Hawx,51.0
Luke Hayden,24.0
Luke Hemsworth,35.0
Luke James,48.5
Luke James Fleischmann,33.0
Luke Jennings,54.0
Luke Ka'ili Jr.,56.0
Luke Kirby,52.333333333333336
Luke Kleintank,40.0
Luke LaMontagne,51.0
Luke Lewis,41.0
Luke Mably,47.0
Luke Massery,71.0
Luke Mitchell,32.0
Luke Moran,34.0
Luke Morgan Oliver,65.0
Luke Murphy,51.0
Luke Newberry,35.5
Luke Pasqualino,18.0
Luke Pegler,20.0
Luke Perry,56.75
Luke Persiani,26.0
Luke Poehlmann,34.0
Luke Prael,67.0
Luke Robertson,51.0
Luke Rosen,73.0
Luke Sanson,29.0
Luke Schneider,74.0
Luke Sexton,64.0
Luke Shelton,65.0
Luke Simon,63.0
Luke Slattery,62.0
Luke Spencer Roberts,44.75
Luke Spill,67.0
Luke Sunshine,72.0
Luke Tennie,37.5
Luke Thompson,94.0
Luke Tittensor,52.0
Luke Treadaway,59.0
Luke Tyler,46.0
Luke Vanek,44.0
Luke Vink,30.0
Luke White,47.0
Luke Wilson,51.45454545454545
Luke Y. Thompson,41.5
Lukhanyo Bele,41.0
Lukács Bicskey,55.0
Lukás Kantor,56.0
Lulu,58.666666666666664
Lulu McClatchy,51.0
Lulu McNichol,54.0
Lulu Popplewell,55.0
Lulu Wilson,57.8
Lum Chang Pang,55.0
Lumi Cavazos,41.5
Luminita Filimon,58.0
Lumsden Hare,86.0
Lun-Mei Kwei,49.0
Luna Catarevas,36.0
Luna Lauren Velez,49.0
Luo Yan,26.0
Luoyong Wang,43.5
Lupe Garnica,68.0
Lupe Gigliotti,22.0
Lupe Ontiveros,56.0
Lupita Nyong'o,72.33333333333333
Lupita Ochoa,60.0
Lupo Berkowitch,39.0
Lurdes Valles,77.0
Lurene Tuttle,66.75
Lurie Poston,42.333333333333336
Lushin Dubey,54.0
Lusia Strus,53.5
Luther Adler,64.0
Luther Waters,37.0
Lutz Halbhubner,51.0
Luvia Petersen,32.0
Lux Haney-Jardine,42.0
Luz Alexandra Ramos,53.5
Luz Maria Molina,65.0
Luzer Twersky,56.0
Luís Miguel Cintra,64.0
Lwanda Jawar,56.0
Lyanna Tumaneng,31.0
Lycia Naff,68.0
Lydell M. Cheshier,54.0
Lydia Blanco Garza,44.5
Lydia Du Veaux,82.0
Lydia Goya,53.0
Lydia Hand,33.0
Lydia Hazan,28.0
Lydia Hearst,31.4
Lydia Hull,26.428571428571427
Lydia Hyslop,55.5
Lydia Jordan,62.0
Lydia Lafleur,67.0
Lydia Lei,54.5
Lydia Leonard,50.0
Lydia Look,60.0
Lydia Lunch,27.0
Lydia Mackay,46.0
Lydia Shannon,18.0
Lydia Styslinger,24.0
Lydia Wilson,68.0
Lydia Yi,54.0
Lydie Ben-Zakin,40.0
Lykke Li,54.0
Lyla Hay Owen,64.0
Lyle Alzado,24.0
Lyle Brocato,51.0
Lyle Conway,42.0
Lyle Derek,24.0
Lyle Kanouse,50.25
Lyle Lovett,60.666666666666664
Lyle Werner,55.0
Lyman Chen,70.0
Lyman Ward,44.75
Lymari Nadal,76.0
Lyn Alicia Henderson,44.5
Lyn Edgington,90.0
LynNita Ellis,31.0
Lynda Baron,68.0
Lynda Berg,53.0
Lynda Boyd,38.0
Lynda Carter,41.0
Lynda Chiu,56.0
Lynda Clark,52.0
Lynda Goodfriend,46.0
Lynda Gravatt,35.0
Lynda La Plante,42.0
Lynda Mauze,63.0
Lynda Millard,15.0
Lyndon Byers,71.0
Lyndon Johnson,40.0
Lyndon Smith,49.333333333333336
Lyndsay Hailey,54.0
Lyndsay Kimball,46.0
Lyndsey Barnett,45.0
Lyndsey Marshal,68.0
Lyndsey Nelson,26.0
Lyndsi LaRose,42.0
Lyndsy Fonseca,47.0
Lyne Renee,33.0
Lynell Smith,67.0
Lynette Bennett,46.0
Lynette Bernay,78.0
Lynette DuPree,17.0
Lynette Smith,81.0
Lynita Crofford,69.0
Lynn 'Red' Williams,11.0
Lynn Adrianna Freedman,66.0
Lynn Baker,50.0
Lynn Blackburn,81.0
Lynn Borden,60.6
Lynn Bowman,35.0
Lynn Caridine,72.0
Lynn Carlin,88.0
Lynn Cartwright,1.0
Lynn Chen,54.833333333333336
Lynn Cheng,65.0
Lynn Cohen,51.1
Lynn Collins,49.1
Lynn Czekaj,62.0
Lynn Eastman-Rossi,72.0
Lynn Farrell,70.0
Lynn Ferguson,88.0
Lynn Fero,18.0
Lynn Hallowell,77.0
Lynn Hamilton,49.0
Lynn Hobart,69.0
Lynn Kennedy,71.0
Lynn Latham,35.0
Lynn Lowry,62.5
Lynn Mastio Rice,67.0
Lynn McRee,56.0
Lynn Oh,31.0
Lynn Phillips,34.0
Lynn Redgrave,54.916666666666664
Lynn Shelton,65.71428571428571
Lynn Swanson,54.0
Lynn Theel,49.0
Lynn Wanlass,35.0
Lynn Whitfield,45.666666666666664
Lynn Wieland,39.0
Lynn-Holly Johnson,30.5
Lynn-Marie Stetson,50.0
Lynnanne Zager,65.0
Lynne Adams,52.0
Lynne Carr,38.0
Lynne Compton,46.0
Lynne Gorman,60.0
Lynne Griffin,50.0
Lynne Kitei,68.0
Lynne Koplitz,68.0
Lynne Langdon,37.0
Lynne Lipton,61.0
Lynne Marie Stewart,52.0
Lynne Marta,48.333333333333336
Lynne Matthew,26.0
Lynne McCollough,33.0
Lynne Moody,68.0
Lynne Otis,27.0
Lynne Thigpen,61.7
Lynnette Gaza,46.0
Lynnette Lo,50.0
Lynnsee Provence,69.0
Lyralen Kaye,48.0
Lyric Hurd,74.0
Lyrica Okano,44.0
Lyrics Born,64.0
Lyriq Bent,38.625
Lysa Aya Trenier,33.0
Lysa Flores,61.0
Lyubomir Neikov,37.0
Lyudmila Kramarevskaya,67.0
Lyudmila Razumova,73.0
Lyvingston Holmes,41.0
László Áron,55.333333333333336
Lázaro Pérez,35.5
Léa Seydoux,61.333333333333336
Lídia Franco,41.0
M'Barka Ben Taleb,58.0
M'el Dowd,71.0
M. Casey Reeves,56.0
M. Dickson,24.0
M. Emmet Walsh,54.1
M. Kabir,56.0
M. Michele Phillips,57.0
M. Night Shyamalan,46.8
M. Stephen Deem,63.0
M. Ward,69.0
M.C. Gainey,50.26086956521739
M.C. Serch,50.0
M.C. Shan,66.0
M.D. Walton,41.0
M.G. Kelly,58.5
M.J. Dionne,56.0
M.J. Karmi,54.0
M.M. Jones,56.0
M.R.B. Chakrabandhu,87.0
M.T. Alexander,68.0
MC Lyte,29.0
MJ Gazali,42.0
MaLynda Parker,40.0
MaameYaa Boafo,67.0
Maarten Dannenberg,42.0
Maarten Swaan,36.0
Mabel Adams,48.0
Mabel Albertson,55.0
Mabel Colcord,92.0
Mabel King,50.666666666666664
Mabel Rivera,52.0
Mable John,68.0
Mac,43.0
Mac Bennett,40.0
Mac Brandt,32.0
Mac Butler,30.0
Mac Davis,64.5
Mac Mashourian,85.0
Mac McDonald,58.0
Mac Miller,21.0
Mac Robbins,52.0
MacInTalk,95.0
MacIntyre Dixon,66.4
MacKenzie Stetzler,70.0
Macaulay Callard,36.0
Macaulay Culkin,50.5
Macaulee Cassaday,79.0
Macdara Ó Fátharta,33.0
Macdonald Carey,75.5
Maceo Smedley,48.0
Macha Méril,65.0
Macha Ross,66.0
Macharia Kamau,56.0
Machine Gun Kelly,55.57142857142857
Macie Carmosino,52.0
Macie Juiles,60.0
Maciej Krupianik,62.0
Maciek Jasik,76.0
Mack Kurihara,22.0
Macka Foley,44.5
Mackenyu,44.0
Mackenzie Aladjem,59.0
Mackenzie Astin,40.714285714285715
Mackenzie Bateman,49.0
Mackenzie Brooke Smith,56.0
Mackenzie Connolly,48.0
Mackenzie Crook,53.833333333333336
Mackenzie Davis,60.25
Mackenzie Dudzik,68.0
Mackenzie Firgens,57.0
Mackenzie Foy,60.6
Mackenzie G. Mauro,42.0
Mackenzie Graham,55.0
Mackenzie Gray,61.0
Mackenzie Imsand,32.0
Mackenzie Marsh,24.0
Mackenzie Mauzy,69.0
Mackenzie Milone,39.5
Mackenzie Mowat,19.0
Mackenzie Muldoon,46.0
Mackenzie Munro,57.0
Mackenzie Phillips,58.5
Mackenzie Rosman,25.5
Mackenzie Sawyer,62.0
Mackenzie Sidwell Graff,45.0
Mackenzie Trainor,68.0
Mackenzy Petit,76.0
Mackie Burt,30.0
Macon Blair,64.375
Macon McCalman,52.142857142857146
Macsen Lintz,47.0
Macy Gray,44.375
Macy Whitener,46.0
Mad Cobra,26.0
Madalena Brancatella,48.0
Madalina Constantin,18.0
Madalina Stan,38.0
Madalyn Horcher,47.0
Madame Spivy,94.0
Maddalena Ischiale,49.0
Maddi Black,17.0
Maddie Baillio,53.0
Maddie Corman,48.8125
Maddie Dixon-Poirier,75.0
Maddie Hasson,52.666666666666664
Maddie Morris Jones,30.0
Maddie Ziegler,31.0
Maddison Joyce,55.0
Maddox Lim,38.0
Maddy Curley,53.0
Maddy Martin,46.0
Madelaine Massey,43.0
Madelaine Petsch,27.0
Madeleine Adams,49.0
Madeleine Arthur,62.5
Madeleine Blaustein,15.0
Madeleine Brolly,62.0
Madeleine Coghlan,65.0
Madeleine Daly,60.0
Madeleine Greaves,71.0
Madeleine Harris,82.5
Madeleine James,61.0
Madeleine Lebeau,100.0
Madeleine Mantock,71.0
Madeleine Martin,45.0
Madeleine McGraw,84.0
Madeleine Potter,60.5
Madeleine Saar Reeser,55.0
Madeleine Sami,64.0
Madeleine Sherwood,61.5
Madeleine Sims-Fewer,69.0
Madeleine Stack,47.5
Madeleine Stowe,59.333333333333336
Madeleine Waters,87.0
Madeleine West,23.0
Madeleine Worrall,77.0
Madeline 'Maddy' Wary,61.0
Madeline Bertani,29.0
Madeline Brewer,60.5
Madeline Carel,66.0
Madeline Carroll,40.2
Madeline Kahn,57.25
Madeline McNulty,49.0
Madeline O'Brien,72.0
Madeline Weinstein,70.0
Madeline Wickins,69.0
Madeline Zima,39.0
Madelyn Barkocy,57.0
Madelyn Cates,96.0
Madelyn Cline,69.0
Madelyn Deutch,49.0
Madelyn Miranda,63.0
Madgalena Karasinska,75.0
Madge Blake,71.0
Madge Kennedy,72.0
Madge Sinclair,60.666666666666664
Madhav Sharma,54.0
Madhur Jaffrey,56.285714285714285
Madhur Mittal,56.0
Madhurima Tuli,26.0
Madi Bready,41.0
Madi Ortiz,67.0
Madigan Bachman,82.0
Madina Nalwanga,73.0
Madisen Beaty,56.5
Madison Arnold,51.875
Madison Bailey,39.0
Madison Beer,29.0
Madison Browning,38.0
Madison Brydges,27.0
Madison Cook,75.0
Madison Curry,81.0
Madison Davenport,59.166666666666664
Madison Davis,54.0
Madison Deadman,54.0
Madison Eginton,68.0
Madison Elizabeth Lagares,44.0
Madison Hodges,63.0
Madison Hu,57.0
Madison Ingoldsby,50.0
Madison Iseman,55.857142857142854
Madison Keesler,70.0
Madison Lanc,90.0
Madison Lintz,36.0
Madison Mason,47.0
Madison McGuire,39.0
Madison McKinley,46.666666666666664
Madison Moss,1.0
Madison Outhier,44.0
Madison Pettis,34.0
Madison Riley,30.0
Madison Rothschild,37.0
Madison Staines,33.0
Madison Stiltner,53.0
Madison Tarnopol,58.0
Madison Wilkins,63.0
Madison Wolfe,49.22222222222222
Madisyn Ritland,60.0
Madisyn Shipman,61.0
Madolyn Smith Osborne,58.0
Madonna,45.42857142857143
Mads Mikkelsen,51.44444444444444
Mads Sjøgård Pettersen,54.0
Maduka Steady,71.0
Mady Kaplan,77.0
Madylin Sweeten,38.0
Madyn Greer Coakley,56.0
Mae Aswell,47.0
Mae Clarke,74.0
Mae Marsh,99.0
Mae Mercer,68.25
Mae Questel,69.0
Mae Whitman,51.2
Maebel Mills,67.0
Maemae Renfrow,65.0
Maestro Harrell,39.5
Maethi Thapthimthong,39.0
Maetrix Fitten,49.0
Maeve Andrews,90.0
Maeve Fogarty,43.0
Maeve Kearney,69.0
Maeve Kerrigan,53.0
Maeve McGrath,88.0
Maeve McGuire,50.0
Maeve Quinlan,52.0
Magali Amadei,30.0
Magda Apanowicz,38.0
Magda Harout,46.0
Magda Szubanski,65.0
Magda Vasko,45.0
Magdalena Begay,55.0
Magdalena Bendek,55.0
Magdalena Manville,63.0
Magdalene Vick,29.0
Mageina Tovah,56.0
Maggie Baird,58.5
Maggie Burkwit,64.0
Maggie Carney,32.0
Maggie Castle,51.666666666666664
Maggie Collier,65.0
Maggie Cooper,33.0
Maggie Damon,24.0
Maggie Dence,85.0
Maggie Ehrig,73.0
Maggie Elizabeth Jones,57.0
Maggie Emma Thomas,64.0
Maggie Geha,33.0
Maggie Grace,40.6875
Maggie Gyllenhaal,62.05
Maggie Harper,38.0
Maggie Hatcher,69.0
Maggie Keenan-Bolger,48.0
Maggie Kiley,58.0
Maggie Lacey,29.0
Maggie Lawson,49.0
Maggie Linderman,49.0
Maggie Low,66.0
Maggie Ma,41.0
Maggie Maye,66.0
Maggie McCarthy,38.5
Maggie McClure,41.0
Maggie McOmie,75.0
Maggie Moore,66.5
Maggie Nixon,69.0
Maggie Oskam,33.0
Maggie Parto,53.0
Maggie Phillips,54.0
Maggie Pierce,68.0
Maggie Q,44.2
Maggie Renzi,71.5
Maggie Riley,57.0
Maggie Rose Fleck,27.0
Maggie Roswell,62.0
Maggie Rush,44.0
Maggie Scott,33.0
Maggie Siff,51.666666666666664
Maggie Smith,58.11764705882353
Maggie Steed,47.0
Maggie T.,73.0
Maggie VandenBerghe,42.0
Maggie Wagner,59.5
Maggie Weston,51.0
Maggie Wheeler,64.0
Magi Avila,46.0
Magic Schwarz,40.0
Magie Song,65.0
Magio Mojica,30.0
Magnus Krepper,47.0
Magnus Millang,55.0
Magnus Nolan,74.0
Magnus von Platen,73.0
Magnús Kr. Guðmundsson,68.0
Magnús Scheving,27.0
Maha Chehlaoui,62.0
Mahabanoo Mody-Kotwal,38.5
Mahadeo Shivraj,30.0
Mahaley Patel,52.0
Mahamadou Coulibaly,33.0
Mahat M. Ali,82.0
Maher Essam,61.0
Mahershala Ali,65.53333333333333
Mahesh Jadu,30.0
Mahesh Manjrekar,84.0
Mahfuz Rahman,82.0
Mahira Kakkar,45.0
Mahmood Schricker,74.0
Mahmoud Assadollahi,36.0
Mahmoudi M'Barek,45.0
Mahmud Abu-Jazi,49.0
Mahnoor Baloch,59.0
Mahoghany Ayot Eerised,69.0
Mahria Zook,31.0
Mahyar Baghdadi Mahmoud,39.0
Mahée Paiement,70.0
Mai Ballard,60.0
Mai Vu,84.0
Maia Bastidas,9.0
Maia Brewton,45.0
Maia Campbell,51.0
Maia Danziger,72.0
Maia Lorian,47.0
Maia Madison,48.0
Maia Mitchell,53.0
Maia Morgenstern,48.0
Maia Noni,71.0
Maia Wilson,78.0
Maiara Walsh,21.0
Maidie Norman,53.666666666666664
Maika Monroe,55.5
Maile Flanagan,54.0
Maimouna Hélène Diarra,81.0
Mairead Devlin,55.0
Mairead McKinley,65.0
Maisam Masri,49.0
Maisha Diatta,45.0
Maisha Dyson,25.0
Maisie Camilleri Preziosi,52.0
Maisie McMaster,49.0
Maisie Williams,48.0
Maite Yerro,45.0
Maitland McConnell,58.0
Maitland Ward,41.0
Maizie Smith,77.0
Maja Arsovic,64.0
Maja Bloom,52.0
Maja Gödicke,73.0
Maja Stankovska,62.0
Maja Wampuszyc,77.0
Majandra Delfino,61.0
Majd Bitar,69.0
Majeed Nami,73.0
Majel Barrett,62.5
Major Dodge,65.0
Major Dodson,12.0
Major Johnson Finley,55.0
Major Wiley,68.0
Mak Takano,40.0
Mak Wilson,42.0
Makani Rietveld,43.0
Makato Takeuchi,12.0
Makaylo Van Peebles,48.0
Make Bray,67.0
Makeda Declet,54.0
Makena Lei Carnahan,48.0
Makenna Cotton,50.0
Makenna Fitzsimmons,44.0
Makenna McBrierty,56.0
Makenzie Browning,38.0
Makenzie Leigh,71.66666666666667
Makenzie Moss,45.0
Makenzie Vega,45.2
Maki Issô,68.0
Makia Martin,53.0
Mako,49.0
Makoto Ôtake,47.0
Makram Khoury,41.2
Maksim Vitorgan,16.0
Maksud Agadjani,90.0
Makyla Burnam,90.0
Mal Day,55.0
Mal Jones,43.0
Mal Whiteley,53.0
Mal Z. Lawrence,49.666666666666664
Malachi Barton,63.0
Malachi Pearson,49.0
Malachy Cleary,61.0
Malachy McCourt,48.0
Malasia Brown,90.0
Malaya Rivera Drew,88.0
Malcolm Atterbury,90.0
Malcolm Barrett,47.0
Malcolm Beethans,44.0
Malcolm Boddington,65.0
Malcolm Brownson,37.0
Malcolm C. Berman,52.0
Malcolm C. Murray,35.0
Malcolm Danare,47.8
Malcolm David Kelley,49.5
Malcolm G. Chace Jr.,62.0
Malcolm Gets,39.0
Malcolm Goodwin,47.333333333333336
Malcolm Hutton,96.0
Malcolm Ingram,44.0
Malcolm Jamieson,84.0
Malcolm M. Mays,59.666666666666664
Malcolm McDowell,48.035714285714285
Malcolm Scates,43.0
Malcolm Scott,33.0
Malcolm Sinclair,68.0
Malcolm Smith,40.0
Malcolm Stewart,42.0
Malcolm Storry,75.0
Malcolm Stumpf,38.5
Malcolm Terris,62.0
Malcolm-Jamal Warner,47.666666666666664
Malea Rose,38.0
Maleah Nipay-Padilla,66.0
Malek Kateb,68.0
Malerie Boone,57.0
Malerie Grady,32.0
Malgorzata Bela,64.0
Malgorzata Gebel,94.0
Mali Matsuda,51.0
Maliaq Kairaiuak,61.0
Malic White,72.0
Malick Bowens,57.8
Malieek Straughter,53.0
Malik Bader,56.5
Malik Barnhardt,50.5
Malik Bazille,72.5
Malik Burke,64.5
Malik Hammond,32.0
Malik Middleton,55.0
Malik Yoba,47.888888888888886
Malika Haqq,62.5
Malika Samuel,52.0
Malika Williams,71.0
Malin Akerman,43.22222222222222
Malin Barr,43.0
Malina Moye,50.0
Malinda Logan,44.0
Malinda McCollum,73.0
Malinda Williams,41.666666666666664
Maliq Johnson,69.0
Malla McCown,87.0
Mallorie Rodak,84.0
Mallory Adams,65.0
Mallory Bechtel,87.0
Mallory Culbert,59.0
Mallory Moye,51.0
Malone Thomas,42.0
Malorie O'Neill,42.0
Maltby Napoleon,39.0
Malya Nappi,58.0
Mamadou Kanouté,81.0
Mamadou Lam,89.0
Mamie Gummer,50.25
Mamie Meek,38.0
Mamley Djangmah,93.0
Mamo Clark,87.0
Mamoudou Athie,54.333333333333336
Mamoudu Turay Kamara,56.0
Mamusu Kallon,56.0
Mana Ashida,65.0
Mana Hira Davis,52.0
Manan Katohora,46.0
Mandeep Dhillon,54.0
Mandeiya Flory,38.0
Mandel Holland,36.0
Mandela Bellamy,66.0
Mandela Van Peebles,43.5
Mandi Masden,60.0
Mandi Sidhu,46.0
Mando Alvarado,31.5
Mandy Einstein,64.0
Mandy Freund,66.0
Mandy Gonzalez,32.5
Mandy Haines,30.0
Mandy Hausenberger,59.0
Mandy Ingber,46.0
Mandy Kay,46.0
Mandy M Bailey,46.0
Mandy Moore,44.1764705882353
Mandy Patinkin,52.45454545454545
Mandy Pursley,62.0
Mandy Rimer,27.0
Mandy Siegfried,39.0
Mandy Surridge,62.0
Manel Barceló,70.0
Manfred Schulz,93.0
Manfredi Aliquo,61.0
Mangaliso Ngema,29.0
Mangel Moore,90.0
Manish Acharya,93.0
Manish Dayal,48.5
Mann Alfonso,29.0
Manner Washington,59.0
Mannie Mack,69.0
Manning Redwood,51.0
Manny Aguila,75.0
Manny Alfaro,44.0
Manny Carabello,30.0
Manny Fajardo,46.0
Manny Fried,68.0
Manny Jacobs,42.0
Manny Kleinmuntz,31.0
Manny Perez,53.0
Manny Petruzzelli,27.0
Manny Sosa,50.0
Manny Suárez,85.0
Manny Ureña,44.0
Mano Maniam,56.0
Mano Singh,93.0
Manoah Angelo,64.0
Manoel Felciano,45.0
Manoj Mehra,62.0
Manoj Prajapati,41.0
Manolet Escudero,20.0
Manolis Goussias,94.0
Manolo Cardona,54.5
Manolo Fábregas,62.0
Manolo Herrera,75.0
Manolo Ruiz,35.0
Manong Peping Baclig,31.0
Manop Seengoen,42.0
Manouschka Guerrier,29.0
Mansour,36.0
Manu Bennett,40.333333333333336
Manu Gargi,61.0
Manu Intiraymi,24.0
Manu Narayan,24.0
Manu Tupou,46.0
Manuel Aranguiz,45.0
Manuel Cabral,46.0
Manuel Cauchi,54.0
Manuel Depta,28.0
Manuel Dondé,98.0
Manuel Espinosa,71.0
Manuel Garcia,50.0
Manuel Garcia-Rulfo,55.0
Manuel Giusti,42.0
Manuel Katzy,74.0
Manuel Medero,40.0
Manuel Ojeda,63.0
Manuel Pacific,48.5
Manuel Padilla Jr.,97.0
Manuel Rivera,65.0
Manuel Rodriguez,90.0
Manuel Urrego,52.0
Manuel Vela,31.0
Manuel Viescas,66.0
Manuel de Blas,52.0
Manuel Álvarez Maciste,86.0
Manuela Guerra,45.0
Manuela Horn,53.0
Mao Zhao,62.5
Mapi Galán,51.0
Mar Andersons,47.0
Mar Cecelia Valls,36.0
Mara Clark,38.0
Mara Connor,47.0
Mara Corday,59.0
Mara Hobel,57.0
Mara Pelifian,61.0
Mara Scott-Wood,75.0
Mara Wilson,48.0
Marc Aden Gray,73.0
Marc Alaimo,54.0
Marc Alan Austen,65.0
Marc Ambrose,1.0
Marc Amyot,51.0
Marc Andréoni,40.0
Marc Anthony,57.8
Marc Anthony Samuel,74.0
Marc Avalon,55.0
Marc Baur,66.0
Marc Benjamin,54.0
Marc Bernardin,46.0
Marc Blucas,43.2
Marc Bonan,65.0
Marc Boyle,34.0
Marc Carter,52.0
Marc Casabani,34.0
Marc Cavell,92.0
Marc Clement,36.5
Marc Coppola,48.5
Marc Crumpton,24.0
Marc D. Donovan,58.0
Marc Damon Johnson,70.0
Marc Donato,44.4
Marc Evan Jackson,67.8
Marc Farley,43.0
Marc Fellner,36.0
Marc Ferrando,15.0
Marc Figueroa,61.0
Marc Fiorini,48.0
Marc Forget,65.0
Marc Gowan,57.0
Marc Grapey,56.5
Marc Gwamaka,69.0
Marc Hayashi,85.0
Marc Iserlis,62.0
Marc John Jefferies,50.36363636363637
Marc Krinsky,34.0
Marc Kudisch,66.5
Marc Lavoine,68.0
Marc Lawrence,58.5
Marc Lynn,36.0
Marc Macaulay,43.0625
Marc Maron,53.0
Marc May,52.0
Marc McClure,56.25
Marc Menchaca,61.4
Marc Mouchet,36.0
Marc Musso,55.666666666666664
Marc Nolan,50.0
Marc Padró,42.0
Marc Palmieri,67.0
Marc Pickering,65.0
Marc Pitman,56.0
Marc Platt,75.0
Marc Poppel,57.0
Marc Price,57.0
Marc Raymond,45.0
Marc Richardson,37.0
Marc Rissmann,60.0
Marc Robinson,34.0
Marc Romeo,58.0
Marc Rose,41.0
Marc Ross,89.0
Marc Ruchmann,37.0
Marc Scarpa,53.0
Marc Schaffer,57.0
Marc Senter,64.66666666666667
Marc Sheffler,68.0
Marc Shelton,41.0
Marc Silver,64.0
Marc Singer,18.0
Marc Swenker,57.0
Marc Turtletaub,80.0
Marc Vahanian,28.0
Marc Van Eeghem,31.0
Marc Vann,47.0
Marc Warren,50.0
Marc Weiner,63.0
Marc Wootton,69.0
Marc Worden,53.0
Marc de Jonge,36.0
Marc-André Grondin,52.5
Marc-Anthony Massiah,53.0
Marc-Edouard Leon,28.0
Marca Price,54.0
Marcel Bozzuffi,94.0
Marcel Bridges,70.0
Marcel Dalio,72.0
Marcel Hillaire,69.5
Marcel Iures,41.25
Marcel Jeannin,40.0
Marcel Maillard,34.0
Marcel Ruiz,46.0
Marcel Sarmiento,51.0
Marcel van Heerden,24.0
Marcela Mar,43.0
Marceline Hugot,55.625
Marcelino Sánchez,65.0
Marcell Miklós,55.0
Marcell Nagy,87.0
Marcell Rosenblatt,56.5
Marcella Lentz-Pope,58.0
Marcella Lowery,60.0
Marcelle Purdy,49.0
Marcellina Walker,24.0
Marcello Altieri,34.0
Marcello Catalano,54.0
Marcello Conte,52.0
Marcello Mastroianni,48.0
Marcello Santoni,55.0
Marcello Thedford,46.0
Marcellus Anthony,62.0
Marcelo Games,56.0
Marcelo Serrado,26.0
Marcelo Tubert,31.5
Marcheline Bertrand,44.0
Marchánt Davis,70.0
Marci Canipe,36.0
Marci Miller,55.0
Marci T. House,57.0
Marcia Ann Burrs,33.5
Marcia Bennett,51.4
Marcia Christie,76.0
Marcia Costa,54.0
Marcia Cross,48.5
Marcia Dangerfield,23.0
Marcia DeBonis,52.42857142857143
Marcia DeRousse,31.0
Marcia Gay Harden,51.15151515151515
Marcia Haufrecht,63.75
Marcia Jean Kurtz,66.22222222222223
Marcia Lewis,44.0
Marcia Mae Jones,61.0
Marcia McBroom,60.0
Marcia Mitzman Gaven,59.0
Marcia Rodd,68.0
Marcia Strassman,56.5
Marcia Wallace,63.0
Marcia Warren,67.0
Marcia Wright,54.5
Marcial Tagle,39.0
Marcie Barkin,37.0
Marcie Leeds,61.0
Marcin Dorocinski,59.0
Marcin Kowalczyk,63.0
Marcin Stec,24.0
Marcin Walewski,47.0
Marcio Catalano,43.0
Marcio Garcia,26.0
Marco Antonio Rodriguez,81.0
Marco Assante,59.5
Marco Basile,39.0
Marco Bonini,28.0
Marco Calamita,84.0
Marco Dapper,39.0
Marco Davanzo,41.0
Marco Flaco,45.0
Marco Garcia,45.0
Marco Hofschneider,31.5
Marco Khan,38.25
Marco Leonardi,64.0
Marco Mondragón,55.0
Marco Niccoli,47.0
Marco Perella,73.75
Marco Pérez,42.0
Marco Rodríguez,48.111111111111114
Marco Sanchez,41.0
Marco Sellitto,16.0
Marco Serralta,47.0
Marco Sgrosso,93.0
Marco Sorisio,21.0
Marco St. John,51.111111111111114
Marco Treviño,55.0
Marco Trofa,48.0
Marco Xavier,54.0
Marcos A. Ferraez,51.0
Marcos A. Gonzalez,47.0
Marcos De Silvas,61.0
Marcos Martínez García,76.0
